Name,
Ilocos Norte,012800000
Ilocos Sur,012900000
La Union,013300000
Pangasinan,015500000
Batanes,020900000
Cagayan,021500000
Isabela,023100000
Nueva Vizcaya,025000000
Quirino,025700000
Metro Manila,130700000
Bataan,030800000
Bulacan,031400000
Nueva Ecija,034900000
Pampanga,035400000
Tarlac,036900000
Zambales,037100000
Aurora,037700000
Batangas,041000000
Cavite,042100000
Laguna,043400000
Quezon,045600000
Rizal,045800000
Marinduque,174000000
Occidental Mindoro,175100000
Oriental Mindoro,175200000
Palawan,175300000
Romblon,175900000
Albay,050500000
Camarines Norte,051600000
Camarines Sur,051700000
Catanduanes,052000000
Masbate,054100000
Sorsogon,056200000
Aklan,060400000
Antique,060600000
Capiz,061900000
Iloilo,063000000
Negros Occidental,064500000
Guimaras,067900000
Bohol,071200000
Cebu,072200000
Negros Oriental,074600000
Siquijor,076100000
Eastern Samar,082600000
Leyte,083700000
Northern Samar,084800000
Samar,086000000
Southern Leyte,086400000
Biliran,087800000
Zamboanga del Norte,097200000
Zamboanga del Sur,097300000
Zamboanga Sibugay,098300000
Bukidnon,101300000
Camiguin,101800000
Lanao del Norte,103500000
Misamis Occidental,104200000
Misamis Oriental,104300000
Davao del Norte,112300000
Davao del Sur,112400000
Davao Oriental,112500000
Davao de Oro,118200000
Davao Occidental,118600000
Cotabato,124700000
South Cotabato,126300000
Sultan Kudarat,126500000
Sarangani,128000000
Abra,140100000
Benguet,141100000
Ifugao,142700000
Kalinga,143200000
Mountain Province,144400000
Apayao,148100000
Agusan del Norte,160200000
Agusan del Sur,160300000
Surigao del Norte,166700000
Surigao del Sur,166800000
Dinagat Islands,168500000
Basilan,150700000
Lanao del Sur,153600000
Maguindanao,153800000
Sulu,156600000
Tawi-Tawi,157000000
