Name,Correspondence Code,,,,,,
Adams,012801000,,,,,,
Bacarra,012802000,,,,,,
Badoc,012803000,,,,,,
Bangui,012804000,,,,,,
City of Batac,012805000,,,,,,
Burgos,012806000,,,,,,
Carasi,012807000,,,,,,
Currimao,012808000,,,,,,
Dingras,012809000,,,,,,
Dumalneg,012810000,,,,,,
Banna,012811000,,,,,,
City of Laoag (Capital),012812000,,,,,,
Marcos,012813000,,,,,,
Nueva Era,012814000,,,,,,
Pagudpud,012815000,,,,,,
Paoay,012816000,,,,,,
Pasuquin,012817000,,,,,,
Piddig,012818000,,,,,,
Pinili,012819000,,,,,,
San Nicolas,012820000,,,,,,
Sarrat,012821000,,,,,,
Solsona,012822000,,,,,,
Vintar,012823000,,,,,,
Alilem,012901000,,,,,,
Banayoyo,012902000,,,,,,
Bantay,012903000,,,,,,
Burgos,012904000,,,,,,
Cabugao,012905000,,,,,,
City of Candon,012906000,,,,,,
Caoayan,012907000,,,,,,
Cervantes,012908000,,,,,,
Galimuyod,012909000,,,,,,
Gregorio del Pilar,012910000,,,,,,
Lidlidda,012911000,,,,,,
Magsingal,012912000,,,,,,
Nagbukel,012913000,,,,,,
Narvacan,012914000,,,,,,
Quirino,012915000,,,,,,
Salcedo,012916000,,,,,,
San Emilio,012917000,,,,,,
San Esteban,012918000,,,,,,
San Ildefonso,012919000,,,,,,
San Juan,012920000,,,,,,
San Vicente,012921000,,,,,,
Santa,012922000,,,,,,
Santa Catalina,012923000,,,,,,
Santa Cruz,012924000,,,,,,
Santa Lucia,012925000,,,,,,
Santa Maria,012926000,,,,,,
Santiago,012927000,,,,,,
Santo Domingo,012928000,,,,,,
Sigay,012929000,,,,,,
Sinait,012930000,,,,,,
Sugpon,012931000,,,,,,
Suyo,012932000,,,,,,
Tagudin,012933000,,,,,,
City of Vigan (Capital),012934000,,,,,,
Agoo,013301000,,,,,,
Aringay,013302000,,,,,,
Bacnotan,013303000,,,,,,
Bagulin,013304000,,,,,,
Balaoan,013305000,,,,,,
Bangar,013306000,,,,,,
Bauang,013307000,,,,,,
Burgos,013308000,,,,,,
Caba,013309000,,,,,,
Luna,013310000,,,,,,
Naguilian,013311000,,,,,,
Pugo,013312000,,,,,,
Rosario,013313000,,,,,,
City of San Fernando (Capital),013314000,,,,,,
San Gabriel,013315000,,,,,,
San Juan,013316000,,,,,,
Santo Tomas,013317000,,,,,,
Santol,013318000,,,,,,
Sudipen,013319000,,,,,,
Tubao,013320000,,,,,,
Agno,015501000,,,,,,
Aguilar,015502000,,,,,,
City of Alaminos,015503000,,,,,,
Alcala,015504000,,,,,,
Anda,015505000,,,,,,
Asingan,015506000,,,,,,
Balungao,015507000,,,,,,
Bani,015508000,,,,,,
Basista,015509000,,,,,,
Bautista,015510000,,,,,,
Bayambang,015511000,,,,,,
Binalonan,015512000,,,,,,
Binmaley,015513000,,,,,,
Bolinao,015514000,,,,,,
Bugallon,015515000,,,,,,
Burgos,015516000,,,,,,
Calasiao,015517000,,,,,,
City of Dagupan,015518000,,,,,,
Dasol,015519000,,,,,,
Infanta,015520000,,,,,,
Labrador,015521000,,,,,,
Lingayen (Capital),015522000,,,,,,
Mabini,015523000,,,,,,
Malasiqui,015524000,,,,,,
Manaoag,015525000,,,,,,
Mangaldan,015526000,,,,,,
Mangatarem,015527000,,,,,,
Mapandan,015528000,,,,,,
Natividad,015529000,,,,,,
Pozorrubio,015530000,,,,,,
Rosales,015531000,,,,,,
City of San Carlos,015532000,,,,,,
San Fabian,015533000,,,,,,
San Jacinto,015534000,,,,,,
San Manuel,015535000,,,,,,
San Nicolas,015536000,,,,,,
San Quintin,015537000,,,,,,
Santa Barbara,015538000,,,,,,
Santa Maria,015539000,,,,,,
Santo Tomas,015540000,,,,,,
Sison,015541000,,,,,,
Sual,015542000,,,,,,
Tayug,015543000,,,,,,
Umingan,015544000,,,,,,
Urbiztondo,015545000,,,,,,
City of Urdaneta,015546000,,,,,,
Villasis,015547000,,,,,,
Laoac,015548000,,,,,,
Basco (Capital),020901000,,,,,,
Itbayat,020902000,,,,,,
Ivana,020903000,,,,,,
Mahatao,020904000,,,,,,
Sabtang,020905000,,,,,,
Uyugan,020906000,,,,,,
Abulug,021501000,,,,,,
Alcala,021502000,,,,,,
Allacapan,021503000,,,,,,
Amulung,021504000,,,,,,
Aparri,021505000,,,,,,
Baggao,021506000,,,,,,
Ballesteros,021507000,,,,,,
Buguey,021508000,,,,,,
Calayan,021509000,,,,,,
Camalaniugan,021510000,,,,,,
Claveria,021511000,,,,,,
Enrile,021512000,,,,,,
Gattaran,021513000,,,,,,
Gonzaga,021514000,,,,,,
Iguig,021515000,,,,,,
Lal-Lo,021516000,,,,,,
Lasam,021517000,,,,,,
Pamplona,021518000,,,,,,
Pe�ablanca,021519000,,,,,,
Piat,021520000,,,,,,
